origin,h,S,log_w
2016-06,9,0.0007010138793311005,-4681.6560422928615
2016-06,10,0.0007931109327796136,-4791.964357699476
2016-06,11,0.0005426937279855177,-4885.202303463581
2016-06,12,0.0005478160895645871,-4978.191966307876
2016-07,1,3.202186970166412e-05,-26.404548685493
2016-07,2,0.00013313079702416668,-62.212563089488725
2016-07,3,0.00044004710730887776,-68.758799296078
2016-07,4,0.0007476618302347787,-1819.1683717628396
2016-07,5,0.0007015759328199301,-3109.033206469063
2016-07,6,0.0007404741445608976,-3816.6040132309527
2016-07,7,0.0007979107010035987,-4355.2116018413635
2016-07,8,0.0006413486461478721,-4610.77102626002
2016-07,9,0.0007315868292596802,-4815.642194983747
2016-07,10,0.0004838950786643474,-4925.950510390361
2016-07,11,0.000488086558012908,-5018.940173234656
2016-07,12,0.0005691300871986148,-5120.475800013665
2016-08,1,0.00015795734249021438,-30.91125123199654
2016-08,2,0.00045880062745427483,-71.82677251604166
2016-08,3,0.0007979898981745198,-75.76179541032721
2016-08,4,0.00080663086988689,-1898.0998976609294
2016-08,5,0.0008659581850082657,-3187.9647323671525
2016-08,6,0.0009219640716186658,-3895.2945373795637
2016-08,7,0.0007736935785037638,-4452.997342004404
2016-08,8,0.0008634556634669974,-4737.043312872107
2016-08,9,0.000619558467185281,-4941.914481595833
2016-08,10,0.0006241776757990539,-5051.974514082637
2016-08,11,0.0007031417983775429,-5153.5101408616465
2016-08,12,0.0006360008250278666,-5254.937968729853
2016-09,1,0.0002923155032499335,-35.66267628143286
2016-09,2,0.0006295255556525575,-70.76224777765663
2016-09,3,0.0006782246094364664,-72.56077968826374
2016-09,4,0.0007645904478442572,-1894.8988819388658
2016-09,5,0.0008200669144040095,-3184.52271489561
2016-09,6,0.0006910034444366116,-3913.7963905673555
2016-09,7,0.0007890895596221834,-4512.804687543312
2016-09,8,0.000559451292807908,-4796.850658411015
2016-09,9,0.0005633584303190659,-5001.47354421493
2016-09,10,0.0006413644437048734,-5120.791704297674
2016-09,11,0.0005751031383872838,-5222.219532165881
2016-09,12,0.0008615200499169006,-5315.209195010176
2016-10,1,0.000327641088503995,-30.20280832422458
2016-10,2,0.00039501663599401677,-56.75641588573458
2016-10,3,0.0005275433017863148,-58.55494779634169
2016-10,4,0.0006240470005303015,-1880.652048297465
2016-10,5,0.0005037379157967993,-3200.0535521870315
2016-10,6,0.0006177783092808148,-3976.3300294997025
2016-10,7,0.0003918485746512417,-4575.3383264756585
2016-10,8,0.00040936121314587466,-4859.1360144235505
2016-10,9,0.0004919317103728787,-5076.2217642989235
2016-10,10,0.0004286712695939889,-5195.432125470865
2016-10,11,0.0007119534652159478,-5288.42178831516
2016-10,12,0.0008978387620021087,-5389.706705117581
2016-11,1,6.399751628718368e-05,-22.36900805073697
2016-11,2,0.00022229203025705968,-48.92261561224697
2016-11,3,0.00038964853779587666,-50.48014577337544
2016-11,4,0.0003109271170761334,-1908.0522264971305
2016-11,5,0.00042185255679138244,-3290.1241325745978
2016-11,6,0.00020449494833400805,-4066.4006098872687
2016-11,7,0.00022047161164575387,-4665.160623943415
2016-11,8,0.0003121363674987712,-4963.557666946443
2016-11,9,0.0002503945440791881,-5180.535617911013
2016-11,10,0.0005301468846024612,-5290.595650397817
2016-11,11,0.0007145097850599774,-5391.880567200238
